kgld_id,title,alt_names,oblast,district,ccode,latitude,longitude,geometry_captured,observation_years,aat_type,kgld_origin,mchs_catalog_id,basin,mountain_range,record_status,close_match,ramsar_ris,source_note
KGLD-L0001,Issyk-Kul,,Issyk-Kul,,KG,42.416667,77.250000,,1990,aat:300008680,tectonic,,Issyk-Kul,Kungey Ala-Too / Terskey Ala-Too,verified_partial,,https://rsis.ramsar.org/ris/1231,Published reference values: surface area 6236 km²; elevation 1606 m; maximum depth 668 m; volume 1738 km³. Sources: National Statistical Committee of the Kyrgyz Republic — 20 Years of Independence of the Kyrgyz Republic (2011) | International Lake Environment Committee (ILEC) — World Lake Database — Lake Issyk-Kool.
KGLD-L0002,Son-Kul,,Naryn,,KG,41.833056,75.116667,,2010,aat:300008680,,,,,verified_partial,,https://rsis.ramsar.org/ris/1943,Published reference values: surface area 275 km²; elevation 3015.2 m; maximum depth 13.2 m. Sources: National Statistical Committee of the Kyrgyz Republic — 20 Years of Independence of the Kyrgyz Republic (2011) | Ramsar Sites Information Service — Information Sheet on Ramsar Wetlands — Son-Kol Lake (Site 1943). Note: KGLD records a source conflict for at least one of these values; the full evidence and conflict register are in the Zenodo release.
KGLD-L0003,Chatyr-Kul,,Naryn,,KG,40.616667,75.300000,,,aat:300008680,,,,At-Bashy,verified_partial,,https://rsis.ramsar.org/ris/1588,Published reference values: surface area 175 km²; elevation 3530 m; maximum depth 16.6 m. Sources: National Statistical Committee of the Kyrgyz Republic — 20 Years of Independence of the Kyrgyz Republic (2011) | Food and Agriculture Organization of the United Nations — Fish species introductions in the Kyrgyz Republic (2013). Note: KGLD records a source conflict for at least one of these values; the full evidence and conflict register are in the Zenodo release.
KGLD-L0004,Sary-Chelek,,Jalal-Abad,,KG,41.890000,71.960000,,2013,aat:300008680,landslide_dammed,,,Chatkal,verified_partial,,,"Published reference values: surface area 4.9 km²; elevation 1874 m; volume 0.48 km³. Sources: Lauterbach, S.; Mingram, J.; Schettler, G.; Orunbaev, S. — Two twentieth-century MLH = 7.5 earthquakes recorded in annually laminated lake sediments from Sary Chelek, western Tian Shan, Kyrgyzstan (2019). Note: KGLD records a source conflict for at least one of these values; the full evidence and conflict register are in the Zenodo release."
KGLD-L0005,Kel-Suu,,Naryn,,KG,40.643056,76.395000,,,aat:300008680;aat:300387086,strongly_variable_intermittent,,,,verified_partial,wd:Q13642455,,Published reference values: elevation 3514 m. Sources: Wikidata / U.S. Geographic Names Server — Köl-Suu (Wikidata Q13642455; coordinate statement attributed to Geographic Names Server) (2018).
KGLD-L0006,Kulun,Кулун,Osh,Kara-Kulja,KG,40.542511,74.313168,,,aat:300008680,landslide_dammed,,Kulun / Tar,Fergana Range,verified_partial,gn:8403583,,Published reference values: surface area 3.25 km²; elevation 2856 m; maximum depth 91 m. Sources: Kyrgyz Express Post — Pearls of Kyrgyz Nature. Kulun Lakes — Newsletter No. 113 (2025) | Bolshaya Rossiyskaya Entsiklopediya — Kulun (2023). Note: KGLD records a source conflict for at least one of these values; the full evidence and conflict register are in the Zenodo release.
KGLD-L0007,Ala-Kul,Алакёль,Issyk-Kul,,KG,42.317167,78.534664,,2026,aat:300008680,rock_dammed_proglacial; riegel,I-102,,Terskey Ala-Too,verified_partial,,,"Published reference values: surface area 1.6 km²; elevation 3560 m. Sources: Rousseau, M.; Demory, F.; Miramont, C.; Brisset, E.; Guiter, F.; Sabatier, P.; Sorrel, P. — Palaeoenvironmental change and glacier fluctuations in the high Tian Shan Mountains during the last millennium based on sediments from Lake Ala Kol, Kyrgyzstan (2020). Note: KGLD records a source conflict for at least one of these values; the full evidence and conflict register are in the Zenodo release."
KGLD-L0008,Kol-Ukok,,Naryn,,KG,,,,,aat:300008680,,,,,seed,,,Published reference values: surface area 1.6 km²; elevation 3048 m; maximum depth 17 m. Sources: Food and Agriculture Organization of the United Nations — Fish species introductions in the Kyrgyz Republic (2013).
KGLD-L0009,Tulpar-Kol,,Osh,,KG,,,,,aat:300008680,,,,Trans-Alay,seed,,,
KGLD-L0010,Petrov Lake,,Issyk-Kul,,KG,,,,"1911,1947,1957,1980,1995,2006,2009",aat:300008680,moraine_dammed_glacial,,,Ak-Shyyrak,verified_partial,,,"Published reference values: surface area 3.9 km²; elevation 3741 m; maximum depth 69.3 m; volume 0.0603 km³. Sources: Janský, B.; Engel, Z.; Šobr, M.; Beneš, V.; Špaček, K.; Yerokhin, S. — The evolution of Petrov lake and moraine dam rupture risk (Tien-Shan, Kyrgyzstan) (2009) | Engel, Z.; Šobr, M.; Yerokhin, S. A. — Changes of Petrov glacier and its proglacial lake in the Akshiirak massif, central Tien Shan, since 1977 (2012)."
