orth	proposed_ipa	note
ਅ	ə	independent A (aira)
ਆ	aː	independent AA
ਇ	ɪ	independent I
ਈ	iː	independent II
ਉ	ʊ	independent U
ਊ	uː	independent UU
ਏ	eː	independent EE
ਐ	ɛː	independent AI
ਓ	oː	independent OO
ਔ	ɔː	independent AU
ਸ਼	ʃ	SHA
ਲ਼	ɭ	LLA
ਖ਼	x	KHHA
ਗ਼	ɣ	GHHA
ਜ਼	z	ZA
ਫ਼	f	FA
ੜ	ɽ	RRA
ੰ	n	TIPPI — nasalisation
ਁ	n	ADAK BINDI — nasalisation
ੳ		URA — vowel bearer, no independent value
ੲ		IRI — vowel bearer, no independent value
ੱ		ADDAK — geminates the FOLLOWING consonant; not expressible in a 1:1 map (Q3)
ੑ		UDAAT — rare diacritic
ੵ	j	YAKASH
ੴ		EK ONKAR — religious symbol, not phonetic
