orth	proposed_ipa	note
අ	a	independent AYANNA
ආ	aː	AAYANNA
ඇ	æ	AEYANNA
ඈ	æː	AEEYANNA
ඉ	i	IYANNA
ඊ	iː	IIYANNA
උ	u	UYANNA
ඌ	uː	UUYANNA
ඍ	ri	IRUYANNA
ඎ	riː	IRUUYANNA
ඏ	li	ILUYANNA
ඐ	liː	ILUUYANNA
එ	e	EYANNA
ඒ	eː	EEYANNA
ඓ	ai	AIYANNA
ඔ	o	OYANNA
ඕ	oː	OOYANNA
ඖ	au	AUYANNA
ඟ	ⁿg	prenasalised — distinctive Sinhala series (Q4)
ඦ	ⁿdʒ	prenasalised
ඬ	ⁿɖ	prenasalised
ඳ	ⁿd	prenasalised
ඹ	ⁿb	prenasalised
ඥ	gɲ	TAALUJA SANYOOGA NAAKSIKYAYA — conjunct
ෆ	f	FAYANNA — loan phoneme
ඁ		CANDRABINDU — nasalisation diacritic
ෲ	ruː	DIGA GAETTA-PILLA
ෳ	luː	DIGA GAYANUKITTA
