
+-------+------------+------------+------------------------------------------------------------+-------------+--------------------+
| ISO-3 |   Script   |      Count | ISO Name                                                   | Epitran Key |       Status       |
+-------+------------+------------+------------------------------------------------------------+-------------+--------------------+
|  und  |   LATIN    | 15,241,355 | Undetermined                                               |     None    |  NEEDS_DETECTION   |
|  eng  |   LATIN    |  9,266,188 | English                                                    |   eng-Latn  |      EPITRAN       |
|  ceb  |   LATIN    |  2,457,998 | Cebuano                                                    |   ceb-Latn  |      EPITRAN       |
|  fra  |   LATIN    |  2,408,402 | French                                                     |   fra-Latn  |      EPITRAN       |
|  zho  |    CJK     |  2,371,511 | ZHO (script default)                                       |   cmn-Hans  | EPITRAN (Inferred) |
|  nld  |   LATIN    |  2,294,033 | Dutch                                                      |   nld-Latn  |      EPITRAN       |
|  deu  |   LATIN    |  2,152,348 | German                                                     |   deu-Latn  |      EPITRAN       |
|  swe  |   LATIN    |  1,719,638 | Swedish                                                    |   swe-Latn  |      EPITRAN       |
|  spa  |   LATIN    |  1,535,156 | Spanish                                                    |   spa-Latn  |      EPITRAN       |
|  rus  |  CYRILLIC  |  1,478,285 | RUS (script default)                                       |   rus-Cyrl  | EPITRAN (Inferred) |
|  ind  |   LATIN    |    932,052 | Indonesian                                                 |   ind-Latn  |      EPITRAN       |
|  tur  |   LATIN    |    846,809 | Turkish                                                    |   tur-Latn  |      EPITRAN       |
|  ita  |   LATIN    |    828,486 | Italian                                                    |   ita-Latn  |      EPITRAN       |
|  ara  |   ARABIC   |    794,813 | ARA (script default)                                       |   ara-Arab  | EPITRAN (Inferred) |
|  por  |   LATIN    |    713,498 | Portuguese                                                 |   por-Latn  |      EPITRAN       |
|  gle  |   LATIN    |    674,413 | Irish                                                      |   gle-Latn  |      EPITRAN       |
|  pol  |   LATIN    |    672,311 | Polish                                                     |   pol-Latn  |      EPITRAN       |
|  cat  |   LATIN    |    635,350 | Catalan                                                    |   cat-Latn  |      EPITRAN       |
|  ces  |   LATIN    |    599,216 | Czech                                                      |   ces-Latn  |      EPITRAN       |
|  fas  |   ARABIC   |    585,171 | Persian                                                    |   fas-Arab  |      EPITRAN       |
|  fin  |   LATIN    |    537,845 | Finnish                                                    |   fin-Latn  |      EPITRAN       |
|  ukr  |  CYRILLIC  |    489,211 | Ukrainian                                                  |   ukr-Cyrl  |      EPITRAN       |
|  jpn  |    CJK     |    453,331 | Japanese                                                   |   jpn-Hira  |      EPITRAN       |
