
+-------+------------+------------+------------------------------------------------------------+-------------+--------------------+
| ISO-3 |   Script   |      Count | ISO Name                                                   | Epitran Key |       Status       |
+-------+------------+------------+------------------------------------------------------------+-------------+--------------------+
|  und  |   LATIN    | 10,378,822 | Undetermined                                               |     None    |  NEEDS_DETECTION   |
|  eng  |   LATIN    |  8,039,735 | English                                                    |   eng-Latn  |      EPITRAN       |
|  ceb  |   LATIN    |  2,457,885 | Cebuano                                                    |   ceb-Latn  |      EPITRAN       |
|  fra  |   LATIN    |  2,311,910 | French                                                     |   fra-Latn  |      EPITRAN       |
|  nld  |   LATIN    |  2,292,068 | Dutch                                                      |   nld-Latn  |      EPITRAN       |
|  deu  |   LATIN    |  2,063,027 | German                                                     |   deu-Latn  |      EPITRAN       |
|  swe  |   LATIN    |  1,715,947 | Swedish                                                    |   swe-Latn  |      EPITRAN       |
|  spa  |   LATIN    |  1,518,530 | Spanish                                                    |   spa-Latn  |      EPITRAN       |
|  zho  |    CJK     |  1,384,563 | Chinese                                                    |   cmn-Hans  | EPITRAN (Inferred) |
|  ind  |   LATIN    |    931,192 | Indonesian                                                 |   ind-Latn  |      EPITRAN       |
|  rus  |  CYRILLIC  |    914,489 | RUS (script default)                                       |   rus-Cyrl  | EPITRAN (Inferred) |
|  tur  |   LATIN    |    843,744 | Turkish                                                    |   tur-Latn  |      EPITRAN       |
|  ita  |   LATIN    |    815,139 | Italian                                                    |   ita-Latn  |      EPITRAN       |
|  por  |   LATIN    |    711,350 | Portuguese                                                 |   por-Latn  |      EPITRAN       |
|  gle  |   LATIN    |    671,756 | Irish                                                      |   gle-Latn  |      EPITRAN       |
|  pol  |   LATIN    |    655,880 | Polish                                                     |   pol-Latn  |      EPITRAN       |
|  ces  |   LATIN    |    593,385 | Czech                                                      |   ces-Latn  |      EPITRAN       |
|  cat  |   LATIN    |    578,028 | Catalan                                                    |   cat-Latn  |      EPITRAN       |
|  fas  |   ARABIC   |    576,748 | Persian                                                    |   fas-Arab  |      EPITRAN       |
|  fin  |   LATIN    |    532,011 | Finnish                                                    |   fin-Latn  |      EPITRAN       |
|  ara  |   ARABIC   |    503,930 | Arabic                                                     |   ara-Arab  | EPITRAN (Inferred) |
|  nob  |   LATIN    |    443,035 | Norwegian Bokmål                                           |   nno-Latn  |      EPITRAN       |
|  ukr  |  CYRILLIC  |    435,644 | Ukrainian                                                  |   ukr-Cyrl  |      EPITRAN       |
|  nor  |   LATIN    |    428,875 | Norwegian                                                  |   nno-Latn  |      EPITRAN       |
|  ron  |   LATIN    |    375,292 | Romanian                                                   |   ron-Latn  |      EPITRAN       |
|  eus  |   LATIN    |    348,261 | Basque                                                     |   eus-Latn  |      EPITRAN       |
|  jpn  |    CJK     |    337,530 | Japanese                                                   |   jpn-Hira  |      EPITRAN       |
|  nno  |   LATIN    |    314,193 | Norwegian Nynorsk                                          |   nno-Latn  |      EPITRAN       |
|  jpn  |  KATAKANA  |    310,423 | Japanese                                                   |   jpn-Kana  | EPITRAN (Inferred) |
|  ast  |   LATIN    |    306,403 | Asturian                                                   |   ast-Latn  |      EPITRAN       |
|  dan  |   LATIN    |    297,142 | Danish                                                     |   dan-Latn  |      EPITRAN       |
|  nan  |   LATIN    |    292,889 | Min Nan Chinese                                            |   nan-Latn  |      EPITRAN       |
|  che  |  CYRILLIC  |    289,774 | Chechen                                                    |   che-Cyrl  |      EPITRAN       |
|  msa  |   LATIN    |    285,578 | Malay (macrolanguage)                                      |   msa-Latn  |      EPITRAN       |
|  epo  |   LATIN    |    282,232 | Esperanto                                                  |   epo-Latn  |      EPITRAN       |
|  kor  |   HANGUL   |    270,089 | Korean                                                     |   kor-Hang  | EPITRAN (Inferred) |
|  vie  |   LATIN    |    267,432 | Vietnamese                                                 |   vie-Latn  |      EPITRAN       |
|  arz  |   ARABIC   |    266,408 | Egyptian Arabic                                            |   arz-Arab  |      EPITRAN       |
|  slv  |   LATIN    |    253,352 | Slovenian                                                  |   slv-Latn  |      EPITRAN       |
|  tat  |  CYRILLIC  |    250,116 | Tatar                                                      |   tat-Cyrl  |      EPITRAN       |
|  hun  |   LATIN    |    247,134 | Hungarian                                                  |   hun-Latn  |      EPITRAN       |
|  bul  |  CYRILLIC  |    235,749 | Bulgarian                                                  |   bul-Cyrl  |      EPITRAN       |
|  srp  |  CYRILLIC  |    235,582 | Serbian                                                    |   srp-Cyrl  |      EPITRAN       |
|  hbs  |   LATIN    |    234,221 | Serbo-Croatian                                             |   hbs-Latn  |      EPITRAN       |
|  cym  |   LATIN    |    228,770 | Welsh                                                      |   cym-Latn  |      EPITRAN       |
|  slk  |   LATIN    |    217,292 | Slovak                                                     |   slk-Latn  |      EPITRAN       |
|  tha  |    THAI    |    211,809 | Thai                                                       |   tha-Thai  | EPITRAN (Inferred) |
|  oci  |   LATIN    |    205,655 | Occitan (post 1500)                                        |   oci-Latn  |      EPITRAN       |
|  mul  |   LATIN    |    192,247 | Multiple languages                                         |     None    |     GAP (ByT5)     |
|  glg  |   LATIN    |    187,533 | Galician                                                   |   glg-Latn  |      EPITRAN       |
|  srp  |   LATIN    |    180,462 | Serbian                                                    |   srp-Latn  |      EPITRAN       |
|  vec  |   LATIN    |    177,919 | Venetian                                                   |   vec-Latn  |      EPITRAN       |
|  ell  |   GREEK    |    169,573 | Modern Greek (1453-)                                       |   ell-Grek  | EPITRAN (Inferred) |
|  uzb  |   LATIN    |    165,424 | Uzbek                                                      |   uzb-Latn  |      EPITRAN       |
|  lld  |   LATIN    |    163,712 | Ladin                                                      |   lld-Latn  |      EPITRAN       |
|  est  |   LATIN    |    161,203 | Estonian                                                   |   est-Latn  |      EPITRAN       |
|  war  |   LATIN    |    157,662 | Waray (Philippines)                                        |   war-Latn  |      EPITRAN       |
|  lit  |   LATIN    |    153,556 | Lithuanian                                                 |   lit-Latn  |      EPITRAN       |
|  hrv  |   LATIN    |    144,568 | Croatian                                                   |   hrv-Latn  |      EPITRAN       |
|  hye  |  ARMENIAN  |    143,828 | Armenian                                                   |   hye-Armn  | EPITRAN (Inferred) |
|  bel  |  CYRILLIC  |    138,270 | Belarusian                                                 |   bel-Cyrl  |      EPITRAN       |
|  lav  |   LATIN    |    132,623 | Latvian                                                    |   lav-Latn  |      EPITRAN       |
|  heb  |   HEBREW   |    127,384 | HEB (script default)                                       |     None    |     GAP (ByT5)     |
|  vol  |   LATIN    |    126,966 | Volapük                                                    |   vol-Latn  |      EPITRAN       |
|  bre  |   LATIN    |    118,807 | Breton                                                     |   bre-Latn  |      EPITRAN       |
|  sco  |   LATIN    |    116,347 | Scots                                                      |   sco-Latn  |      EPITRAN       |
|  azb  |   ARABIC   |    115,881 | South Azerbaijani                                          |   azb-Arab  |      EPITRAN       |
|  mlg  |   LATIN    |    114,111 | Malagasy                                                   |   mlg-Latn  |      EPITRAN       |
|  swa  |   LATIN    |    113,644 | Swahili (macrolanguage)                                    |   swa-Latn  |      EPITRAN       |
|  ltz  |   LATIN    |    113,508 | Luxembourgish                                              |   ltz-Latn  |      EPITRAN       |
|  min  |   LATIN    |    112,191 | Minangkabau                                                |   min-Latn  |      EPITRAN       |
|  urd  |   ARABIC   |    109,700 | Urdu                                                       |   urd-Arab  |      EPITRAN       |
|  nds  |   LATIN    |    106,982 | Low German                                                 |   nds-Latn  |      EPITRAN       |
|  afr  |   LATIN    |    105,224 | Afrikaans                                                  |   afr-Latn  |      EPITRAN       |
|  bar  |   LATIN    |    104,964 | Bavarian                                                   |   bar-Latn  |      EPITRAN       |
|  kaz  |  CYRILLIC  |    102,850 | Kazakh                                                     |   kaz-Cyrl  |      EPITRAN       |
|  arg  |   LATIN    |    102,399 | Aragonese                                                  |   arg-Latn  |      EPITRAN       |
|  ido  |   LATIN    |    102,191 | Ido                                                        |   ido-Latn  |      EPITRAN       |
|  isl  |   LATIN    |     97,266 | Icelandic                                                  |   isl-Latn  |      EPITRAN       |
|  gsw  |   LATIN    |     94,808 | Swiss German                                               |   gsw-Latn  |      EPITRAN       |
|  gla  |   LATIN    |     94,607 | Scottish Gaelic                                            |   gla-Latn  |      EPITRAN       |
|  cos  |   LATIN    |     90,873 | Corsican                                                   |   cos-Latn  |      EPITRAN       |
|  zul  |   LATIN    |     90,796 | Zulu                                                       |   zul-Latn  |      EPITRAN       |
|  ina  |   LATIN    |     90,129 | Interlingua (International Auxiliary Language Association) |   ina-Latn  |      EPITRAN       |
|  roh  |   LATIN    |     89,821 | Romansh                                                    |   roh-Latn  |      EPITRAN       |
|  srd  |   LATIN    |     89,733 | Sardinian                                                  |   srd-Latn  |      EPITRAN       |
|  tgl  |   LATIN    |     89,444 | Tagalog                                                    |   tgl-Latn  |      EPITRAN       |
|  scn  |   LATIN    |     88,921 | Sicilian                                                   |   scn-Latn  |      EPITRAN       |
|  pms  |   LATIN    |     88,689 | Piemontese                                                 |   pms-Latn  |      EPITRAN       |
|  ile  |   LATIN    |     87,044 | Interlingue                                                |   ile-Latn  |      EPITRAN       |
|  wln  |   LATIN    |     86,550 | Walloon                                                    |   wln-Latn  |      EPITRAN       |
|  kat  |  GEORGIAN  |     86,096 | Georgian                                                   |     None    |     GAP (ByT5)     |
|  vls  |   LATIN    |     85,571 | Vlaams                                                     |   vls-Latn  |      EPITRAN       |
|  kon  |   LATIN    |     84,369 | Kongo                                                      |   kon-Latn  |      EPITRAN       |
|  nrm  |   LATIN    |     83,937 | Narom                                                      |   nrm-Latn  |      EPITRAN       |
|  wol  |   LATIN    |     82,017 | Wolof                                                      |   wol-Latn  |      EPITRAN       |
|  lim  |   LATIN    |     80,914 | Limburgan                                                  |   lim-Latn  |      EPITRAN       |
|  und  |   OTHER    |     80,782 | Undetermined                                               |     None    |  NEEDS_DETECTION   |
|  nap  |   LATIN    |     79,837 | Neapolitan                                                 |   nap-Latn  |      EPITRAN       |
|  ben  |  BENGALI   |     77,939 | Bengali                                                    |   ben-Beng  | EPITRAN (Inferred) |
|  lat  |   LATIN    |     77,703 | Latin                                                      |   lat-Latn  |      EPITRAN       |
|  lij  |   LATIN    |     76,505 | Ligurian                                                   |   lij-Latn  |      EPITRAN       |
|  sqi  |   LATIN    |     74,508 | Albanian                                                   |   sqi-Latn  |      EPITRAN       |
|  pcd  |   LATIN    |     73,691 | Picard                                                     |   pcd-Latn  |      EPITRAN       |
|  fur  |   LATIN    |     73,551 | Friulian                                                   |   fur-Latn  |      EPITRAN       |
|  frp  |   LATIN    |     72,791 | Arpitan                                                    |   frp-Latn  |      EPITRAN       |
|  kur  |   LATIN    |     70,348 | Kurdish                                                    |   kur-Latn  |      EPITRAN       |
|  mkd  |  CYRILLIC  |     61,607 | Macedonian                                                 |   mkd-Cyrl  |      EPITRAN       |
|  hin  | DEVANAGARI |     60,809 | Hindi                                                      |   hin-Deva  | EPITRAN (Inferred) |
|  lmo  |   LATIN    |     57,758 | Lombard                                                    |   lmo-Latn  |      EPITRAN       |
|  aze  |   LATIN    |     56,523 | Azerbaijani                                                |   aze-Latn  |      EPITRAN       |
|  ace  |   LATIN    |     54,257 | Achinese                                                   |   ace-Latn  |      EPITRAN       |
|  jav  |   LATIN    |     53,970 | Javanese                                                   |   jav-Latn  |      EPITRAN       |
|  mal  | MALAYALAM  |     53,546 | Malayalam                                                  |   mal-Mlym  |      EPITRAN       |
|  wuu  |    CJK     |     48,883 | Wu Chinese                                                 |     None    |     GAP (ByT5)     |
|  tam  |   TAMIL    |     47,703 | Tamil                                                      |   tam-Taml  | EPITRAN (Inferred) |
|  tel  |   TELUGU   |     47,617 | Telugu                                                     |   tel-Telu  |      EPITRAN       |
|  jpn  |  HIRAGANA  |     47,596 | Japanese                                                   |   jpn-Hira  | EPITRAN (Inferred) |
|  pap  |   LATIN    |     46,338 | Papiamento                                                 |   pap-Latn  |      EPITRAN       |
|  kaz  |   ARABIC   |     46,184 | Kazakh                                                     |   kaz-Arab  |      EPITRAN       |
|  sme  |   LATIN    |     45,475 | Northern Sami                                              |   sme-Latn  |      EPITRAN       |
|  sun  |   LATIN    |     43,920 | Sundanese                                                  |   sun-Latn  |      EPITRAN       |
|  fil  |   LATIN    |     43,617 | Filipino                                                   |   fil-Latn  |      EPITRAN       |
|  fao  |   LATIN    |     42,910 | Faroese                                                    |   fao-Latn  |      EPITRAN       |
|  kab  |   LATIN    |     40,544 | Kabyle                                                     |   kab-Latn  |      EPITRAN       |
|  kal  |   LATIN    |     40,149 | Kalaallisut                                                |   kal-Latn  |      EPITRAN       |
|  mya  |   OTHER    |     39,404 | Burmese                                                    |     None    |     GAP (ByT5)     |
