Orth,Phon
кӏ,kʼ
пӏ,pʼ
тӏ,tʼ
цӏ,tsʼ
чӏ,tʃʼ
хь,ħ
хӏ,h
къ,qʼ
гӏ,ʕ
аь,æ
оь,ø
уь,y
юь,jy
яь,jæ
дж,dʒ
дз,dz
кх,q
пх,pχ
тх,tχ
шт,ʃt
аа,aː
ее,eː
ии,iː
оо,oː
уу,uː
ай,aj
ей,ej
ий,ij
ой,oj
уй,uj
ау,aw
оу,ow
иу,iw
ц̣,tsʼ
ч̣,tʃʼ
Кӏ,kʼ
Пӏ,pʼ
Тӏ,tʼ
Цӏ,tsʼ
Чӏ,tʃʼ
Хь,ħ
Хӏ,h
Къ,qʼ
Гӏ,ʕ
Аь,æ
Оь,ø
Уь,y
Кх,q
Дж,dʒ
Дз,dz
а,a
б,b
в,v
г,ɡ
д,d
е,e
ё,jo
ж,ʒ
з,z
и,i
й,j
к,k
л,l
м,m
н,n
о,o
п,p
р,r
с,s
т,t
у,u
ф,f
х,χ
ц,ts
ч,tʃ
ш,ʃ
щ,ʃtʃ
ъ,ʔ
ы,ɨ
ь,ʲ
э,e
ю,ju
я,ja
ӏ,ʔ
А,a
Б,b
В,v
Г,ɡ
Д,d
Е,e
Ё,jo
Ж,ʒ
З,z
И,i
Й,j
К,k
Л,l
М,m
Н,n
О,o
П,p
Р,r
С,s
Т,t
У,u
Ф,f
Х,χ
Ц,ts
Ч,tʃ
Ш,ʃ
Щ,ʃtʃ
Ъ,ʔ
Ы,ɨ
Ь,ʲ
Э,e
Ю,ju
Я,ja
Ӏ,ʔ
