Orth,Phon
ντζ,ndz
ντσ,nts
αι,e
Αι,e
ΑΙ,e
ει,i
Ει,i
ΕΙ,i
οι,i
Οι,i
ΟΙ,i
ου,u
Ου,u
ΟΥ,u
ευ,ev
Ευ,ev
ΕΥ,ev
αυ,av
Αυ,av
ΑΥ,av
ηυ,iv
Ηυ,iv
ΗΥ,iv
γγ,ŋɡ
Γγ,ŋɡ
ΓΓ,ŋɡ
γκ,ŋk
Γκ,ŋk
ΓΚ,ŋk
γχ,ŋx
Γχ,ŋx
ΓΧ,ŋx
ντ,nd
Ντ,nd
ΝΤ,nd
μπ,mb
Μπ,mb
ΜΠ,mb
τζ,dz
Τζ,dz
ΤΖ,dz
τσ,ts
Τσ,ts
ΤΣ,ts
σκ,sk
Σκ,sk
ΣΚ,sk
σπ,sp
Σπ,sp
ΣΠ,sp
στ,st
Στ,st
ΣΤ,st
σφ,sf
Σφ,sf
ΣΦ,sf
σχ,sx
Σχ,sx
ΣΧ,sx
ά,a
έ,e
ή,i
ί,i
ό,o
ύ,i
ώ,o
Ά,a
Έ,e
Ή,i
Ί,i
Ό,o
Ύ,i
Ώ,o
αί,e
εί,i
οί,i
ού,u
Α,a
Β,v
Γ,ɣ
Δ,ð
Ε,e
Ζ,z
Η,i
Θ,θ
Ι,i
Κ,k
Λ,l
Μ,m
Ν,n
Ξ,ks
Ο,o
Π,p
Ρ,r
Σ,s
Τ,t
Υ,i
Φ,f
Χ,x
Ψ,ps
Ω,o
α,a
β,v
γ,ɣ
δ,ð
ε,e
ζ,z
η,i
θ,θ
ι,i
κ,k
λ,l
μ,m
ν,n
ξ,ks
ο,o
π,p
ρ,r
σ,s
ς,s
τ,t
υ,i
φ,f
χ,x
ψ,ps
ω,o
