Orth,Phon
barren,baren
iturri,ituri
berri,beri
gorri,gori
zahar,sahar
zarra,sara
handi,andi
txiki,tʃiki
goiti,goiti
beiti,beiti
aurre,aure
kanpo,kanpo
mendi,mendi
zelai,selai
harri,ari
landa,landa
etxe,etʃe
zuri,suri
atze,atse
arte,arte
gain,gain
alde,alde
ibai,ibai
baso,baso
erri,eri
hiri,iri
tch,tʃ
uri,uri
tx,tʃ
ts,ts
tz,ts
dd,ɟ
tt,c
rr,r
ll,ʎ
ñ,ɲ
a,a
b,b
c,k
d,d
e,e
f,f
g,ɡ
h,
i,i
j,j
k,k
l,l
m,m
n,n
o,o
p,p
q,k
r,ɾ
s,s
t,t
u,u
v,b
w,w
x,ʃ
y,j
z,s
A,a
B,b
C,k
D,d
E,e
F,f
G,ɡ
H,
I,i
J,j
K,k
L,l
M,m
N,n
O,o
P,p
Q,k
R,ɾ
S,s
T,t
U,u
V,b
W,w
X,ʃ
Y,j
Z,s
Ñ,ɲ
