Orth,Phon
այ,ɑj
աո,ɑw
և,ɛv
ու,u
ևի,ɛvi
եյ,ej
ոյ,oj
ուի,ui
ավ,ɑv
ակ,ɑk
ար,ɑr
աս,ɑs
եց,ɛts
ուտ,ut
պետ,pɛt
դր,dɾ
գր,ɡɾ
խր,xɾ
չկ,tʃk
յան,jɑn
աւ,ɑv
ուա,uɑ
ուե,ue
ուի,ui
ադր,ɑdɾ
ագր,ɑɡɾ
անդ,ɑnd
արք,ɑɾkʰ
աշ,ɑʃ
աստ,ɑst
ախ,ɑx
ախր,ɑxɾ
եբ,ɛb
եվ,ɛv
եվր,ɛvɾ
եդ,ɛd
եչ,ɛtʃ
եճ,ɛdʒ
եզ,ɛz
եզր,ɛzɾ
եք,ɛkʰ
են,ɛn
եպ,ɛp
եր,ɛɾ
երք,ɛɾkʰ
ես,ɛs
ութ,ut
ուղ,uʁ
ուփ,upʰ
ուք,ukʰ
ուֆ,uf
յան,jɑn
յանթ,jɑntʰ
յար,jɑɾ
յեկ,jɛk
յել,jɛl
յև,jɛv
յու,ju
յուա,juɑ
յուե,jue
յուի,jui
ա,ɑ
բ,b
գ,ɡ
դ,d
ե,jɛ
զ,z
է,ɛ
ը,ə
թ,tʰ
ժ,ʒ
ի,i
լ,l
խ,x
ծ,ts
կ,k
հ,h
ձ,dz
ղ,ʁ
ճ,tʃ
մ,m
յ,j
ն,n
շ,ʃ
ո,o
չ,tʃʰ
պ,p
ջ,dʒ
ռ,r
ս,s
վ,v
տ,t
ր,ɾ
ց,tsʰ
ւ,v
փ,pʰ
ք,kʰ
օ,o
ֆ,f
