Orth,Phon
այ,ɑj
աո,ɑw
և,ɛv
ու,u
ևի,ɛvi
եյ,ej
ոյ,oj
ուի,ui
ավ,ɑv
ակ,ɑkʰ
ար,ɑr
աս,ɑs
եց,ɛtsʰ
ուտ,ud
պետ,bɛd
դր,tʰɾ
գր,kʰɾ
խր,xɾ
չկ,tʃʰkʰ
յան,jɑn
աւ,ɑv
ուա,uɑ
ուե,ue
ուի,ui
ադր,ɑtʰɾ
ագր,ɑkʰɾ
անդ,ɑntʰ
արք,ɑɾkʰ
աշ,ɑʃ
աստ,ɑsd
ախ,ɑx
ախր,ɑxɾ
եբ,ɛpʰ
եվ,ɛv
եվր,ɛvɾ
եդ,ɛtʰ
եչ,ɛtʃʰ
եճ,ɛtʃʰ
եզ,ɛz
եզր,ɛzɾ
եք,ɛkʰ
են,ɛn
եպ,ɛb
եր,ɛɾ
երք,ɛɾkʰ
ես,ɛs
ութ,utʰ
ուղ,uʁ
ուփ,upʰ
ուք,ukʰ
ուֆ,uf
յան,jɑn
յանթ,jɑntʰ
յար,jɑɾ
յեկ,jɛkʰ
յել,jɛl
յև,jɛv
յու,ju
յուա,juɑ
յուե,jue
յուի,jui
ա,ɑ
բ,pʰ
գ,kʰ
դ,tʰ
ե,jɛ
զ,z
է,ɛ
ը,ə
թ,tʰ
ժ,ʒ
ի,i
լ,l
խ,x
ծ,tsʰ
կ,kʰ
հ,h
ձ,ts
ղ,ʁ
ճ,tʃʰ
մ,m
յ,j
ն,n
շ,ʃ
ո,o
չ,tʃʰ
պ,b
ջ,dʒ
ռ,r
ս,s
վ,v
տ,d
ր,ɾ
ց,tsʰ
ւ,v
փ,pʰ
ք,kʰ
օ,o
ֆ,f
