Orth,Phon
յան,jɑn
յուա,juɑ
յուե,jue
յուի,jui
ույն,uin
ուտ,ut
պետ,pɛt
ուա,uɑ
ուե,ue
ուի,ui
ադր,ɑdɾ
ագր,ɑɡɾ
անդ,ɑnd
արք,ɑɾkʰ
աստ,ɑst
աղր,ɑxɾ
ևր,ɛvɾ
եզր,ɛzɾ
երք,ɛɾkʰ
ութ,ut
ուղ,uʁ
ուփ,upʰ
ուք,ukʰ
ուֆ,uf
յար,jɑɾ
յեկ,jɛk
յել,jɛl
յու,ju
այ,ɑj
աո,ɑw
ու,u
ևի,ɛvi
եյ,ej
ոյ,oj
ավ,ɑv
ակ,ɑk
ար,ɑr
աս,ɑs
եց,ɛts
դր,dɾ
գր,ɡɾ
խր,xɾ
չկ,tʃk
աու,ɑv
աշ,ɑʃ
ախ,ɑx
եբ,ɛb
և,ɛv
եդ,ɛd
եչ,ɛtʃ
եճ,ɛdʒ
եզ,ɛz
եք,ɛkʰ
են,ɛn
եպ,ɛp
եր,ɛɾ
ես,ɛs
յև,jɛv
ա,ɑ
բ,b
գ,ɡ
դ,d
ե,jɛ
զ,z
է,ɛ
ը,ə
թ,tʰ
ժ,ʒ
ի,i
լ,l
խ,x
ծ,ts
կ,k
հ,h
ձ,dz
ղ,ʁ
ճ,tʃ
մ,m
յ,j
ն,n
շ,ʃ
ո,o
չ,tʃʰ
պ,p
ջ,dʒ
ռ,r
ս,s
վ,v
տ,t
ր,ɾ
ց,tsʰ
ւ,v
փ,pʰ
ք,kʰ
օ,o
ֆ,f
