Orth,Phon
յանթ,jɑntʰ
յուա,juɑ
յուե,jue
յուи,jui
ուи,ui
ուտ,ut
պետ,pɛt
յան,jɑn
ուա,uɑ
ուե,ue
ուի,ui
ադր,ɑtʰɾ
ագր,ɑkʰɾ
անդ,ɑntʰ
արք,ɑɾkʰ
աստ,ɑsd
ախր,ɑxɾ
եվր,ɛvɾ
եզր,ɛzɾ
երք,ɛɾkʰ
ութ,utʰ
ուղ,uʁ
ուփ,upʰ
ուք,ukʰ
ուֆ,uf
յար,jɑɾ
յեկ,jɛkʰ
յել,jɛl
յու,ju
այ,ɑj
աո,ɑw
ու,u
ևի,ɛvi
եյ,ej
ոյ,oj
ավ,ɑv
ակ,ɑkʰ
ար,ɑr
աս,ɑs
եց,ɛtsʰ
դր,tʰɾ
գր,kʰɾ
խր,xɾ
չկ,tʃʰkʰ
աւ,ɑv
աշ,ɑʃ
ախ,ɑx
եբ,ɛpʰ
եվ,ɛv
եդ,ɛtʰ
եչ,ɛtʃʰ
եճ,ɛtʃʰ
եզ,ɛz
եք,ɛkʰ
են,ɛn
եպ,ɛb
եր,ɛɾ
ես,ɛs
յև,jɛv
և,ɛv
ա,ɑ
բ,pʰ
գ,kʰ
դ,tʰ
ե,jɛ
զ,z
է,ɛ
ը,ə
թ,tʰ
ժ,ʒ
ի,i
լ,l
խ,x
ծ,tsʰ
կ,kʰ
հ,h
ձ,ts
ղ,ʁ
ճ,tʃʰ
մ,m
յ,j
ն,n
շ,ʃ
ո,o
չ,tʃʰ
պ,b
ջ,dʒ
ռ,r
ս,s
վ,v
տ,d
ր,ɾ
ց,tsʰ
ւ,v
փ,pʰ
ք,kʰ
օ,o
ֆ,f
