Orth,Phon
ch,x
Ch,x
CH,x
dz,dz
Dz,dz
DZ,dz
dž,dʒ
Dž,dʒ
DŽ,dʒ
ia,ia
ie,ie
iu,iu
di,ɟi
Di,ɟi
ti,ci
Ti,ci
ni,ɲi
Ni,ɲi
li,ʎi
Li,ʎi
de,ɟe
De,ɟe
te,ce
Te,ce
ne,ɲe
Ne,ɲe
le,ʎe
Le,ʎe
dí,ɟiː
tí,ciː
ní,ɲiː
lí,ʎiː
č,tʃ
Č,tʃ
ď,ɟ
Ď,ɟ
ľ,ʎ
Ľ,ʎ
ň,ɲ
Ň,ɲ
š,ʃ
Š,ʃ
ť,c
Ť,c
ž,ʒ
Ž,ʒ
á,aː
Á,aː
é,eː
É,eː
í,iː
Í,iː
ó,oː
Ó,oː
ú,uː
Ú,uː
ý,iː
Ý,iː
ä,æ
Ä,æ
ô,uo
Ô,uo
ŕ,rː
Ŕ,rː
ĺ,lː
Ĺ,lː
a,a
b,b
c,ts
d,d
e,e
f,f
g,ɡ
h,ɦ
i,i
j,j
k,k
l,l
m,m
n,n
o,o
p,p
q,kv
r,r
s,s
t,t
u,u
v,v
w,v
x,ks
y,i
z,z
A,a
B,b
C,ts
D,d
E,e
F,f
G,ɡ
H,ɦ
I,i
J,j
K,k
L,l
M,m
N,n
O,o
P,p
Q,kv
R,r
S,s
T,t
U,u
V,v
W,v
X,ks
Y,i
Z,z
